,0,1
372,مبارکه حاجیه سحر خانوم و حاج امیر,"""غیرتنفر"""
373,تتلو چیزی نیست تو لیاقتت بیشتر از اینهاست,"""تنفر"""
374,مملکت فقط برای ایناست بقیه ول معطلن,"""تنفر"""
375,اولین کامنت فرشته اجی پین کن,"""غیرتنفر"""
376,هر آخوندی دنبال اینه یجوری از بکنه غارت کند ,"""تنفر"""
377,سندرم سفر علمی بیقرار دارن دهن سرویس‌ها طرف تک تک سلولهای خاکستری مغزش برای بشر مفید بوده و هست انواع جایزه‌های علمی رو برده اینقدر سفر علمی نرفت,"""تنفر"""
378,دلم از همه آدما گرفته,"""غیرتنفر"""
379,دم باباش گرم چی ساخته البته دکترها هم بی تاثیر نبودن,"""تنفر"""
380,شب بخیر کرکره کامنتو میدم پایین,"""غیرتنفر"""
381,والا دخترای العان که کارشون از حاملگی گذشته اینقدر وضعیت نو مجازی گوه شده بابا دختر ه هنوز تو پی وی نرفتی خودش اومده صفر تا صد بدنش سکس واست تصویر می‌فرسته,"""تنفر"""
382,اصلا خوب کردی رفتی مگه تتلو چشه,"""غیرتنفر"""
383, چرا الکی پاچه میگیری چیزی بدی بهت گفتم,"""تنفر"""
384,ینی توبمیری که انقدکوته فکری کهر مادرفیلترینگ جهان میدونیومجدداممنونیم ازت سیناجان,"""تنفر"""
385,شنیدیم رفتی پیشه تتل هه چیز خواستی نمیخواستم بگم خوش باشی,"""غیرتنفر"""
386,ی سوال اینقدر که طرفدارات تو کفتن تو توکفشون هستی,"""غیرتنفر"""
387,دلم کلی لباس عید میخواد,"""غیرتنفر"""
388,عروسی کی دعوت میکنی آماده بشیم سحر تتل,"""غیرتنفر"""
389,نامزدمو بدین برم میخوام به قربونش برم,"""غیرتنفر"""
390,واقعا زشتی ادم زشتو نباید گفت زشته چص چص میکنن سیرت زیبا زارت تو ژس زشتم میگیری اخه تو بعد الان یعنی چی گرفتی تو صورتت یکاره ستا پست پشت هم,"""تنفر"""
391,هشتاد و پنج میلیون ایرانی داخل و چهارده میلیون ایرانی خارج همه فهمیدن و میدونن,"""غیرتنفر"""
392,ب شادی بدی ب تتلو,"""تنفر"""
393,تخم حلال‌تر از تتلو تخم حروم آدم نبود که خودتو بچسبونی بهش التماس تفکر,"""تنفر"""
394,سحر توی واتساپ جواب سوالم بده به ضرر نمیکنید,"""غیرتنفر"""
395,عزیزم این همون گربه تو فیلم من عصبانی نیستمه,"""غیرتنفر"""
396,برای من ی ساعت همون یه ساعته,"""غیرتنفر"""
397,توهم یه مواجب بگیر مواج بخور این سلبریتهای ایران مردم غرق فلاکتو گشنگی فقر ناتوانی زنان دختران ایران که از حیا حوجب نجابت بالا بودن از دست شماها به خفت زلالت خاری افتادن برین خجالت بکشین,"""تنفر"""
398,خوابه یا خودشو زده به خواب,"""غیرتنفر"""
399,خاک تو سر اسکلت کنم,"""تنفر"""
400,پای گربتونو نوید گاز گرفته,"""غیرتنفر"""
401,پیازم رفت قاطی میوه‌ها,"""تنفر"""
402,سلام مردم عزیز لطفا گول شایعاتی که درست میکنن رو نخورین یه مشت بیکارن میشینن چرت میگن حتی اینقدر خنده دار عکساشو فتوشاپ میکنن که خندم میگیره حتی عرضه فتوشاپ رو هم ندارم شما چطوری حرفاشونو باور میکنید خانم قریشی سوپر استار ایران هست و باقی خواهد ماند و با هیچ شایعه‌ای برای ما کم رنگ نمیشن بیخودی تلاش نکنید,"""غیرتنفر"""
403,حاج خانوم حواست باشع زبونت رنگی نشه,"""تنفر"""
404,باورود به عرصه بازیگری اصلا یه ادم دیگه‌ای شد,"""غیرتنفر"""
405,نمیترسی تتل بیماری جنسی داشته باشه زگیل تبخالو اینا,"""غیرتنفر"""
406,زنانی که حتی نیمی از حق آزادیشون رو هم ندارند,"""تنفر"""
407,ای جان فقط گربه رو عشقه,"""غیرتنفر"""
408,کاش زودتر نیسان آبی رو میساختن این میرفت اونور,"""تنفر"""
409,سحرخانم کارواجب دارم خدائ لطفا جواب بدین دایرکت,"""غیرتنفر"""
410,جمع کنید بابا لیسور بازیتون کی تموممیشه هر روز روز زنه گاییدین مارو,"""تنفر"""
411,الان نیکی مظفری پایه تمام پیج‌ها و بیکارترین ادم روی زمین کامنت میزاره,"""غیرتنفر"""
412,چه قشنگ خوابیدن دو تا کیوت,"""غیرتنفر"""
413,مبارکه به پایه هم فسیل شید با تتل,"""غیرتنفر"""
414,سلام سحر قریشی هستم هم از عقب میدم هم از جلو سوراخی  و نیم یک کلام مقطوع,"""تنفر"""
415,چه کامنتایی چه حرفایی سرگرمی خوبیه,"""غیرتنفر"""
416,زنان ذاتا موجوداتی بهشتی هستند فقط بر روی کره زمین جهنمی هستند اما مردها در هر دو جهنمی هستن,"""تنفر"""
417,چه بامزه و شیطون بلا افتادید,"""غیرتنفر"""
418,بهبه دسته گل‌های محمدی,"""غیرتنفر"""
419,چرا روحتون رو به شیطان فروختین به چه قیمتپول ثروت قدرتهمش فانیهبیدار شید مردم,"""تنفر"""
420,خاک تو سرت مگه تتلو چی داره ک عاشقش شدی,"""تنفر"""
421,تو که پولتو از خارجیا میگیری زنات هم از هفت دولت آزادن چی میگی دیگه,"""تنفر"""
422,بعدشمیک بازیگر مطرح با یک رپر مشهور و مشتی ازدواج کردنخلاف شرع که نیستبهشون میرسهسر سلامتیشون,"""غیرتنفر"""
423,چقد تحمل زیاد این کامنتارو چه جوری تحمل میکنی,"""غیرتنفر"""
424,روزشون مبارک توایران که زنونگی فقط تجاوزاشوفهمیدیدم,"""غیرتنفر"""
425,اون قلبه یعنی این رلی یابلاخره عروس شدی,"""غیرتنفر"""
426,پیشی اسهال استفراق شده طفلکی آنژیکت بستن براش,"""غیرتنفر"""
427,آره دیگه طلبست که میطلبه فعلا خوب جولان میدن بذار بتازونن تا ببینیم آخرتش چیه,"""تنفر"""
428,جون جون پیشی خوشمله بیا با پیشی من بازی کن دستتم زودی خوب شه الهی قشنگی,"""غیرتنفر"""
429,فرشته میدونستی خیلی قیافت ملیحه,"""غیرتنفر"""
430, جوونامون جقی کرده لامصب شما پیگیری کن به ماهم بگو,"""تنفر"""
431,آخرش نفهمیدییم زن تتل شده یا نه,"""غیرتنفر"""
432,راسته که با تتلو رابطه داری,"""غیرتنفر"""
433,بچه ننهاز اول معلوم بود زن‌ها برات تصمیم میگره,"""تنفر"""
434,خانم قریشی چرا ساکتید یا بیا رابطتون با تتلو تایید کن یا تکذیب چرا سکوت انتخاب خودته ان شاا ک پشیمون نشی ولی تتلو ادم درستی نیس از ی جماعت ب شما نصحیت,"""تنفر"""
435,خوبه بهم میاایین فقط ناموسن قبلش یه صیغه بخونید دینتونو کامل کنیدبقول بعضی از دوستان فضول البته ب ما چه زندگی خودشهجرا,"""غیرتنفر"""
436,واقعا آفرین توی رل زدن حرف نداری,"""تنفر"""
437,شب بخیر همگی کرکره کامنتو میبندم,"""غیرتنفر"""
438,برقرار و مستدام کنار یکدیگر پاینده باشید,"""غیرتنفر"""
439,وایی چقدر پاچیدن روی این صورت,"""تنفر"""
440,الهی بگردم هم دور پیشی هم دور خودت,"""غیرتنفر"""
441,بیشتر از اینم نمیشه توقع داشت تو هر فیلمی جنده لازم میشد میرفتی,"""تنفر"""
442,دوست دارم با زنت بخوابم,"""تنفر"""
443,قضاوت وقت مخصوص خداونده سرتون تو زندگی خودتون باشه نه دیگری,"""غیرتنفر"""
444,خیلی زن با جر بزه هستی اینو جدی میگم واقعا آفرین بهت ولی من تو عکسات یه عقده درونت میبینم که هنوز هست و حس میکنم یکم لات باشی موفق باشی با تتلو بهت حسابی خوش بگ ذره تا مدتی که باهمین,"""غیرتنفر"""
445,عروس مادرتون حوصلش سر رفته,"""غیرتنفر"""
446,چه گربه‌ی خوشگلی سکینه جون,"""غیرتنفر"""
447,علامت یعنی طرف ایدز داره تو خارج کسایی ک ایدز دارن از روی ماشینا استفاده میکنن ک اگه تصادف کردن تو بیمارستان بدونن,"""غیرتنفر"""
448,حد اقل به جمشید قاسم پور رحم میکردی آوارش کردی بدبختو,"""تنفر"""
449,کشورمون توسط چه مشنگهایی اشغال شده,"""تنفر"""
450,اره خوب هیچ کس حس طلبکارانه نداشته باشه جز اخوند اونا باید مملکتو به حراج ببرن بقیه سکوت,"""تنفر"""
451,البته سفر علمی عالیه براشون همشون جمع کنن یه سفر بی بازگشت به سیاره اورانوس برن,"""تنفر"""
452,حواست باشه بخوای تتلو رو تیغ بزنی مثل این هست که درصد ایران رو تیغ زدی حواست باشه,"""تنفر"""
453,فرشته جان چه جوری مخشو زدیدمت گرم,"""غیرتنفر"""
454,بچه‌ها بخوابید دیگه کرکره کامنتو بستم,"""غیرتنفر"""
455,نوید خدا بگم چه کارت نکنه پسر خاله گیان,"""غیرتنفر"""
456,همش بازیه مجازیه مثل قضیه مهراد جم گول نخورید این‌ها هم ماه باهم هستن بعدش خدا نگه دار,"""تنفر"""
457,سحر تو دیگه ازایران نرو خیلی قشنگ بازی میکنی خدایی,"""غیرتنفر"""
458,خانم‌ها اقایون این همه نظرات رنگارنگ میدین خودتان ادم‌های پاکی هستین اگه بودین این وضع اقتصادو فرهنگ مون نبود ملت گوسفند مغز,"""تنفر"""
459,خره میزنه نفت دربیاد‌ها,"""تنفر"""
460,نفهمیدیم کی سحر رو باردار کرده,"""غیرتنفر"""
461,تویی ک این کامنت و میخونی ایشالا من به ارزوم برسم,"""غیرتنفر"""
462,چقدر مظلوم شدی تو خونه تتلو,"""غیرتنفر"""
463,مبارکه ایشالا به پای تتوهاش پیر بشین,"""غیرتنفر"""
464,سامی یوسف خواننده مذهبی ترک,"""غیرتنفر"""
465,لعننی بازم کت شلوار تنته چرا,"""تنفر"""
466,هر جایی از تتلو رو ک دیدم خالکوبی داشت تو ک ی ر شو دیدی بگو ببینم چی کشیده بود,"""تنفر"""
467,تر زدی کامنتارو اقلا ببند خانوم وزیری,"""تنفر"""
468,سکینه حسینی بودی اصرار داری بگی فرشته هستی,"""تنفر"""
469,واقعا بایدخون گریست به حال خودمون,"""تنفر"""
470,مهدی رو تیغ زدی حالا نوبت امیره,"""تنفر"""
471,کلشون رو باید بدیم یه بزغاله بگیریم,"""تنفر"""
472,کاش خدابه این قشرهم مغز داده بود,"""تنفر"""
473,ی پیام تسلیت استوری نکرد واسه همبازیش زهره فکورصبور این حرکتش نشون دهنده خیلی چیزاست,"""غیرتنفر"""
474,آخ دلم خنک میشه این آشغالا رو مسخره میکنی چقدر دلم میخاد بزنمشون,"""تنفر"""
475,پس مانده گیر تتلو افتاد توایران اونای که دست مالیش کردن حالاقسمت تتلوشد,"""تنفر"""
476,خوبیه تتلو اینه هرکجاشو کبود کنی معلوم نمیشه بخاطر تتوهاش,"""غیرتنفر"""
477,قربون اون پیشی برم من,"""غیرتنفر"""
478,سلام سحر خونه‌ی امیر تتلو ای,"""غیرتنفر"""
479,نمیدونم به مشکلاتمون درایران بخندم یا فقط فحاشی کنم سینا جان,"""تنفر"""
480,بینهایت عکس قشنگیهماشالله به جفتتون,"""غیرتنفر"""
481,خدا ی زن افغان قسمت ما هم بکنه,"""غیرتنفر"""
482, ,"""غیرتنفر"""
483,خداروشکر از مهدی طارمی دست کشیدی من هم غصه اونو میخوردم بچه مظلوم رو گول بزنی,"""غیرتنفر"""
484,خیلی خوشگلی ولی ذات نداری جیندایی جیندا ملتم که جیندا پسند,"""تنفر"""
485,سلام خسته نباشید خوبین خواستم بیام بگم که حلالم کنید یه چند بار پشت سرتون غیبت کردم همم یه دروغ هایی گفتم چند سال پیش خلاصه حلال کنید خواهری کنید,"""غیرتنفر"""
486,اول ویدیو خالکوبی نداری بعدش داری الانم خودتو چنل یوتیوبتو گذاشتی قضیه چیه,"""غیرتنفر"""
487,اقا منتظر بچه بعدی باشیم,"""غیرتنفر"""
488,سادگی و زیبایی و اصالت این دختر شبیه اروپایی‌ها می‌مونه,"""غیرتنفر"""
489,پس مهنازافشار چی هوای اونم که خیلی ذاشتی خیلی براش پاچه خواری کردی ازش ی مظلوم تاریخ ساختی حتی بخاطرش کراوات نزذی تو مصاحبه,"""تنفر"""
490,اون تتل دفتر نقاشی چی داره,"""تنفر"""
491,خودتو خراب نکن چیزی نشده هنوز سر عقل بیا,"""غیرتنفر"""
492,اتل متل توتوله سحر تتل چطوره نه شیر داره نه پستون تتل شده استخون بسکه تتل جق زده مو تو سرش‌تر زده حواست باشه دختر نشی اونجا در به در چی تو تتل دیدی داری پزشو میدی,"""تنفر"""
493,چقدر قشنگید شما در کنار هم,"""غیرتنفر"""
494,حجاب اسلامیتم که میببنم بخاطر منافعت حفظهایرانی یعنی همین ریا,"""غیرتنفر"""
495,سهراین همه پسر توچرا میراونجاا,"""تنفر"""
496,واقعا باعث تاسف هروز باید یکی بیاد یه مشت چرندیات بگه و دنیا به حماقت ایرانیا بیشتر از دیروز بخندن خدایا بسه دیگه,"""تنفر"""
497,ی چی بگم یعنی چقدر خر باشی بخای با اون دول پیزوری بخای رل بزنی ب شخصیت خودت توهین نکن عاقلانه برو جلو,"""تنفر"""
498,با ی انتخاب اشتباه ک به شخصیتت نمیومد واقعا کل زحمتاتو به باد دادی تبریک میگم,"""تنفر"""
499,تتلو عادت داش بره سمت خرابا,"""تنفر"""
500,حیف اینخوشکلی و زیبایتت ک خدا بهت داده قدرشو بدون و بخاطر یه اسکول بچه تتلو خودتو بدبخت نکن لیاقتت خیلی بیشتر از این حرفهاس,"""تنفر"""
501,مبارک باشه عشقتون پایدار ایشالا به پای هم پیر شین,"""غیرتنفر"""
502,بیو سحر چی میگه مثل اینکه جدیه داستان,"""غیرتنفر"""
503,حاجی شما به زندگی مردم چیکا دارین برین به زندگی خدتون برسین,"""غیرتنفر"""
504,آخه تو چی داری که ده میلیون فالوور داری به قرآن من یه دختر افغانی هست تو محلمون از تو خشگل تره,"""تنفر"""
505,واقعا روت شد با کسی مثل تتلو دوست شی حداقل ی ادم درست انتخاب میکردی,"""تنفر"""
506,خاک بر سر جفتتون کنم مخصوصا تو,"""تنفر"""
507,استاد مخ زنی هستی مخ اینم زدی سکینه,"""تنفر"""
508,پدر که نباشه مادر اون باشه برادر بی رگ باشه دیگه باید همه چی درهم بشه,"""تنفر"""
509,فقط حواستو جمع کن تتلو معتادت نکنه,"""غیرتنفر"""
510,واقعا متعجبم از شما سلبریتیا که ابروی خودتونو دستی دستی میبرید,"""تنفر"""
511,واقعا قربون دهنت آخه کدوم الاغی به این دکتری داده‌ای خدا,"""تنفر"""
512,چقد زور میزنهیکی پیزی این سینارو جمع بکنه,"""تنفر"""
513,دوتا پرنده‌ی عاشق از دودیار ولی با یک قلب بهم پیوند خورده,"""غیرتنفر"""
514,زنان امروزی که شبیه سرطانن,"""تنفر"""
515,عشقترینو بینظیرترینیمطمئنم خیلی خوش قلبومهربونیهمیشه خوش بدرخشی عزیزم,"""غیرتنفر"""
516,آخه این تتلوهم آدم بودرفتی باهاش رل زدی,"""تنفر"""
517,تتل تو خوابم نمیدید جوابشو بدی رفتی تو بغلش هول,"""تنفر"""
518, فرشته جان چرا آنژیو تو دست بچه است انگار از پاشم رگ گرفتن کمک خواستی بگو,"""غیرتنفر"""
519,مگه این انگل سفر علمی هم میخواد,"""تنفر"""
520,تح کون را آخر بای دادی بدم بای دادی,"""تنفر"""
521,خدایش منوچهرهادی تونیسان ابی خود واقعیتو نشون داده هادمش گرم,"""تنفر"""
522,سلام سینا جان ممنون از برنامههای عالی شما,"""غیرتنفر"""
523,آره دیگه رفته بچه سال گرفته,"""تنفر"""
524,اون فسقل رو ببین اخه,"""غیرتنفر"""
525,خفه شو بیناموس آزادی از نظر شماها چیه,"""تنفر"""
526,زندگی بدونه سمیرا خر است,"""غیرتنفر"""
527,فرشته‌ی مهربون ودوست داشنی,"""غیرتنفر"""
528,مبارک باشه به پای هم پیر شین,"""غیرتنفر"""
529,مبارک باشهانشاالله خوشبخت بشین درکنارهم تا آخرعمر عشقتون پایداربمونهتبرزک میگم به طرفدارهای آقای امیرتتلو سلطان و طرفدارهای خان قریشی,"""غیرتنفر"""
530,خانمهای عزیز روزمون مبارک شاد باشید,"""غیرتنفر"""
531,احساس میکنم شیشه زده فاز غم گرفته,"""تنفر"""
532,سلام صبح بخیر کرکره کامنتو میدم بالا,"""غیرتنفر"""
533,نوید محمد زاده دوماده ما افغانها شده,"""غیرتنفر"""
534,مال و اموال تتلو رو نکشی بالا بدبختو,"""تنفر"""
535,خودت نقشی در ساختن زندگیت نداشتی,"""تنفر"""
536,پیج امیر تتلو رو کسی داره,"""غیرتنفر"""
537,چقدر خوب یه مرد قدردان محبت‌های مادر و همسرش باشه,"""غیرتنفر"""
538,اوخی ی ی ی ی ی ی ی ی,"""غیرتنفر"""
539,به به سحر قریشی شنیدم با تتلو رل زدی بزار از هم جدا شین تتلو جای جای بدنتو میزاره برامون,"""تنفر"""
540,جونم ب سینا بکوبشون ک داری خوب میکوبی کیف کردم,"""تنفر"""
541,باهم تیک زدید یا نه حاشیه هست برا درامد زایی,"""غیرتنفر"""
542,سحر جان پیشونی امیر ببوس از طرف یک آدم تک پاره,"""غیرتنفر"""
543,این رابطه تموم شده اس فقط جهت درآمدزایی تویوتیوب ولی دمت گرم سحر قریشی که به هیشکی نه نمیگی,"""تنفر"""
544,تومگه همکارت فوت نشده چرا تسلیت نذاشتی,"""غیرتنفر"""
545,چقدر گشنمه نمیدونم چرا اینو اینجا دارم میگم,"""غیرتنفر"""
546,عجب صدای سکسی داره آخونده کاش چن آه آه هم میکرد,"""تنفر"""
547,دوستان واقعا باور کنید سحر با تتلو هستش اگع میخواین باور کنید برید تویه برگزیده‌های سحر اولین برگزیده بزنید اون فیلم اتیش استخر هستش منم تا الان باور نداشتم تا برگزیده رو دیدم,"""غیرتنفر"""
548,تتلو لیاقت شستن توالتت هم نداره,"""تنفر"""
549,خیلی دختر ساده‌ای هستی زود گولت زدن یروز بحرفم میرسی,"""غیرتنفر"""
550,حوصلم سررفته بود اومدم کامنت بخونم پوکیدم عجبا,"""غیرتنفر"""
551,هیچی دیگه تتلو گل بازت کرد,"""تنفر"""
552,ببینیم میتونه یه کاری بکنه تتل,"""غیرتنفر"""
553,ازدواج با میمون مبارک میخواستی سایت بزنی خب اینطوری چرا,"""تنفر"""
554,درد معلمان و سینا بخوره بجون همه طلبه‌های طلبکار,"""تنفر"""
555,مبارکه حاجی تتلو میخواد باغ شمارو بیل بزنه حاج خانوم,"""تنفر"""
556,یاد نیسان آبی افتادم انگار واقعی بود چهره اصلیت,"""تنفر"""
557,سلام صبح بخیر کرکره کامنتو میدم پایین,"""غیرتنفر"""
558,سگ به تتلو پا نمیدهبدبخت شبا چجوری پیشش میخوابی با اون قیافه ترسناکش,"""تنفر"""
559,ازادی یعنی بی حجابی خجالت بکش ازخون شهدا,"""تنفر"""
560,ولی رو اینا که کم نمیشه,"""تنفر"""
561,خدایا خودت از دست جهالت نجاتمون بده الهی آمین,"""تنفر"""
562,میدونم توهم مشکل هایی تو زندگیت داری و تلاش میکنی که به هدف هات برسی و مشکلاتت تموم بشه اما دعای امروز من اینه که اول از همه سالم و سرحال باشی و مشکلاتت حل بشه و به هرچیزی که تو هدفت هست برسی,"""غیرتنفر"""
563,دیپلم افتخار برای تو اخه در حدی نبودی که بگیری واقعا نبودی لعنت به اون داوری افتضاح بازی میکنی حسات اصلا خوب در نمیاد,"""تنفر"""
564,اقا مبارکا باشه خبرتون رسید تیک زدیدا این دفعه جدی جدی بود دیگه بگید تتل قریشی,"""غیرتنفر"""
565,این زوج رو که میبینم یاد جشواره فجر میوفتم,"""غیرتنفر"""
566,خوبه ننوشتی تا عشق در یک قاب,"""غیرتنفر"""
567,کاش مام یکی همینجوری داشتیم,"""غیرتنفر"""
568,به نظرم دیگه بسه دیگه برگرد,"""تنفر"""
569,مهرداد جم چشم‌های دنیا تتو کرد امیر تتلو عکس کل صورتو,"""غیرتنفر"""
570,اگه واقعا اینا باهمن چرا پس پیج سحر چیزی نیست ازش,"""غیرتنفر"""
571,خیلی دوس دارم تو و تتل رو تو لباس عروس دومادی ببینم چی شکلی میشین,"""غیرتنفر"""
572,چرا میگی متولد  هستی متولد  هستی مد شده سن هاتونو میارید پایین,"""تنفر"""
573,دختر باید مو مشکی باشه,"""غیرتنفر"""
574,حسودا چرا انقدر با فش و عقده‌ای بازی خودتون و خالی میکنید چقدر بده ک انقدر جامعه حسود و عقده‌ای داریم,"""غیرتنفر"""
575,ای خدا دستش آسیب دیده الهی بمیرم برای این فسقلی,"""غیرتنفر"""
576,خبر دار شدیم جدیدن زیر خواب تتلو شدی,"""تنفر"""
577,ب پای تتلو پیر شی,"""غیرتنفر"""
578,خیلی خوبی سینا بامزه ترینی دردوبلات بخوره تو سر همه‌ی مسئولین دلقک این مملکت,"""تنفر"""
579,پیج تتلو رو یکی بده,"""غیرتنفر"""
580,اخی گوگولیه کی بودی تو,"""غیرتنفر"""
581,سحر کی تو بیو میزنیچشم بد دور ک همجانیوجانانی,"""غیرتنفر"""
582,وای خدا عاشق گربه‌ام,"""غیرتنفر"""
583,لامصب فیلم بزار دیگ از خودت ببینیم چیکار میکنی,"""غیرتنفر"""
584,نمیتونم باور کنم با تتلی,"""غیرتنفر"""
585,بدون هنر بودی الکی مشهور شدی لیاقت نداشی رفتی پیش تتل,"""تنفر"""
586,موفق باشی دختر هنرمند و فوق العاده,"""غیرتنفر"""
587,سیناسینا شوگر مامی از تو انتظار نداشتیم,"""تنفر"""
588,عشق تون همیشگی و پایدار,"""غیرتنفر"""
589,مگه من از تو آرامش یا حس خوب میگیرم ک حس خوب یا آرامش بهت بدم,"""تنفر"""
590,اون زیاد کرده تو هم زیاد دادی خیلی به هم میاید فقط این بعد یک مدت پرتت میکنه بیرون یک کار نکن ایرانم راحت بسته شه در سکوت کس بده,"""تنفر"""
591,ابرو ما طرفداراتو بردی رفتی خونه تتلو باهاش ورزش میکنی,"""تنفر"""
592,جمیله میدونه با خدیجه‌ای,"""غیرتنفر"""
593,خوش بخت بشی سحر خانم,"""غیرتنفر"""
594,ادم با دادن به چه جاهایی که نمیرسه,"""تنفر"""
595,ولی ویو هاش اصلا به فالوراش نمیخوره,"""غیرتنفر"""
596,بهترین کار را انجام دادی رفتی راحت شدی,"""غیرتنفر"""
597,سلام چشمه راستت میبینه نه کله فندقی کمونیست کافر شیطان دیگه چیکسی که اهمیت نمیده مامانش چی میخوره کجامیخوابه این انسانه یاخیلی چیزاتو معروفی نیاز به دنیا جهان بخت بازی نداری امین ام غیرتش خیلی بیشتر سلطانه چرته دلم به حالت نمیسوزه هااصلا من مامانه خودم هم نجات نمیدم اون دنیاولی چپ منظم تره پرنسس فیونا این شرک نیست که دنبالشی این ریده تو آلبوم آخرش پیرشده حاشیه‌ای بهتر شما پیدا نکرد با احترام نه به شما به انسانیتمیزارمامیدوارم مثله همه نشه باهات بعده یه مدت دیگه مریضه دسته خودش نیست,"""تنفر"""
598,خداوکیلی تو به چیه نوید دل بستی خوشت اومد شبیه مردای  و  سالس,"""تنفر"""
599,آخ پیشی جان پات چی شده,"""غیرتنفر"""
600,فرشته من نوید از نزدیک دیدم برای فیلم ناهید اومده بود بندرانزلی باهاش عکس دارم خیلی باحاله ایشالا همیشه خوشبخت باشید تو دختر خیلی قوی هستی,"""غیرتنفر"""
601,خوب تو که گوشی بع دستیچطوری تو چالش شرکت کردییه دستی,"""غیرتنفر"""
602,قربون دست گربه برم ک شکستهچقد خوبه ک هواشو دارید اخه,"""غیرتنفر"""
603,خانوم حاج تتل ی کلیپ بده بیرون همه ملت رو تو زوم و زوم کردن بوم بوم کردن,"""غیرتنفر"""
604,شک نکنید قریشی هم میشه مثل امثال ریحانه پارساها یه زمانی به خودش میاد که خیلی دیره ضمنا این حواشی مجازی همه این به اصطلاح شاخ‌های مجازی به دنبال پولشویی هستن و درامد از یوتیوب و,"""تنفر"""
605,اما سحر قریشی نمونه واقعی زلیخا یامان تو چوکورواست کلا دلش اقیانوسه همه توش جا میشن,"""تنفر"""
606,چرا انقدر حالم ازت بهم میخوره,"""تنفر"""
607,دوستان عزیز هم اکنون اهو,"""غیرتنفر"""
608,خدا شکر نوید یکی مثل خودش گرفت فراموشت نمی‌کنم اموختی ارزو به واقعیت می‌رسد,"""غیرتنفر"""
609,برو تبلیغ شرط بندیتو کن درپیت ذات خرابت هویدا شد,"""تنفر"""
610,نوش جان تتل بعد یک ماه سیکتیر میشی,"""تنفر"""
611,هرکی اومده ببینه عکس عروسی گذاشته لایک کنه,"""غیرتنفر"""
612,چقد بهم میاید عشق میکنم کنار هم میبینمتون,"""غیرتنفر"""
613,ببین اینا تا زیپ شلوارشونو نمیتونن بکشن بالا بعد ما چه انتظارهایی داریم از اینا ک کشور داری و مردم داری کنند خ همون زیپتون رو بکشین بالا ما چیزی نمیخوام از شما گدا زاده‌ها,"""تنفر"""
614,فرهنگ مردم ایران باید همینقدر پایین جلوه کنه همش که فقط دنبال قضاوت و تمسخر باشن واقعا حتی ارزش اینو ندارن ک کامنتارو ب روشون بست یسری اکانت فیک ک زندگی خودشون سراسر پوچیه میان اینجاها چرتوپرت مینویسن,"""غیرتنفر"""
615,سحر جان تو فقط با من نبودی چطوری نمیتونی مقاوت کنی که با همه مردها نباشی,"""تنفر"""
616,یعنی از خر هم خرتری تتلو هم شد ادم,"""تنفر"""
617,پولای خرمالورو پیچوندی رفتی با تتل خرج کنی,"""تنفر"""
618,همه ایندتو همه چیتو به خاطره این خانوم باز از دست دادی یعنی خاک دوعالم تو سرت,"""تنفر"""
619,تتلو شوهر بدیه بد می‌کنه,"""تنفر"""
620,ولی این یه چیزیش هست,"""تنفر"""
621,چقدر همتون آدم ندیده هستید,"""تنفر"""
622,منقلب نشی ی وقت پیش تتلو موتل,"""تنفر"""
623,خاک تو سرت ارزشش داش کشورت بفروشی,"""تنفر"""
624,آخرش زن تتل شد یانه پ,"""غیرتنفر"""
625,میو میو پس کو فرشته,"""غیرتنفر"""
626,همین که گربه جای تو رو گرفته عالی,"""غیرتنفر"""
627,از تتلو چه خبر حاج خانوم,"""غیرتنفر"""
628,دختر مو بلند گلی از گل‌های بهشته,"""غیرتنفر"""
629,همه انسانها دوستدارن زیبا باشن شما ام میتونید زیبایی خودتونو چند برابر کنید,"""غیرتنفر"""
630,خوب سر جمشید کلاه گذاشتی دمت گرم,"""غیرتنفر"""
631,سحر این حرف‌ها چیه پشتت درآوردن با تتلو واقعیت داره,"""غیرتنفر"""
632,ایشلله به پای یک کرهکیفه بیرن,"""غیرتنفر"""
633,راست میگن اینو انتخاب مامان تتلو بوده بعد من یه جایی خوندم نوشته بود خواهر تتلو گفت ما نوه میخوایم,"""غیرتنفر"""
634,لباس خوباشو تو خونه میپوشه,"""تنفر"""
635,چ مخاین از جان سحر بدبخت و تتلو,"""غیرتنفر"""
636,حسودا حرف زیاد میزنن سحرجان,"""غیرتنفر"""
637,چی داری انقدر الکی گنده ت کردن,"""تنفر"""
638,نویدتورر خدا بسه میشه دیگه جذاب نباشی,"""غیرتنفر"""
639,خدایش تو دیگه خودت رو مثل تتلو رنگی نکن چیه باباقیافش رو کرده مثل دفتر نقاشی,"""تنفر"""
640,تتلو دنیا جهانبخت رو گاییده حالا نوبت تویه,"""تنفر"""
641,سحر یکم واسه خودت ارزش قائل شو نکن با خودت اینجوری,"""تنفر"""
642,وقتی تتلو هست کی این پلشتو گوش میده,"""تنفر"""
643,مگه توره جمشید قاسم پور نگفت بیای ایران کجا رفتی,"""غیرتنفر"""
644,طول سال هر روز روز زنه اون وسطش به چند روز عید و بقیه مناسبت‌ها رو جا دادن ضایع نباشه,"""تنفر"""
645,هماکنون سراسر کشور سحر قریشی در ویلای امیر تتلو,"""غیرتنفر"""
646,سحر ارزون نده‌ها خوب پول بگیر,"""تنفر"""
